entity,type
User,GPE
Date,ORGANIZATION
Tamilaga Vettri Kazhagam Search Type,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Pujan,PERSON
Vikravandi,GPE
Tamilaga Vettri Kazhagam,ORGANIZATION
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Tamil,GPE
Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
Huge,GPE
Tamilaga Vettri Kazhagam,ORGANIZATION
Tamil,GPE
Actor Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
Tamilaga,PERSON
Vettri Kazhagam,PERSON
Thanjavur,GPE
Indian,GPE
Agriculture,ORGANIZATION
Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
Aadhav Arjuna,PERSON
India,GPE
Actor,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam Rally,ORGANIZATION
TVK,ORGANIZATION
Tamil,PERSON
None Oct,PERSON
Indian,GPE
Tamil,GPE
Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
Vikravandi,PERSON
India,GPE
Tamilaga Vettri Kazhagamand,PERSON
AIADMK,ORGANIZATION
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Actor,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
India,GPE
TOI,ORGANIZATION
CHENNAI Bosco,ORGANIZATION
Vijay,GPE
Tamilaga Vettri Kazhagam,PERSON
India,GPE
TOI,ORGANIZATION
TAMIL,ORGANIZATION
MOVIE,ORGANIZATION
Actor,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Actor,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Actor,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
BJP,ORGANIZATION
India,GPE
TOI,ORGANIZATION
Tamilaga,PERSON
