trigram,frequency
tamil nadu india,692
tamilaga vettri kazhagam,682
classification language english,487
rights reserved length,381
reserved length words,381
vettri kazhagam tvk,364
nadu india india,333
india tamil nadu,305
chennai tamil nadu,279
government public administration,253
party tamilaga vettri,199
length words dateline,194
language english newspaper,193
geographic chennai tamil,192
new delhi india,171
nadu india tamil,171
government advisors ministers,167
language english web,165
english web publication,165
length words body,161
